Brand,Price,Horsepower,Fuel Efficiency
Brand C,54775,415,32.8
Brand Y,79600,206,10.8
Brand Z,52573,198,14.5
Brand C,67271,296,14.5
Brand D,78303,256,17.7
Brand E,80507,159,11.9
Brand B,74292,394,15.1
Brand C,68704,365,29.5
Brand W,31065,182,34.1
Brand B,37003,349,25.8
Brand Z,81286,439,27.5
Brand C,74635,287,26.9
Brand W,32424,381,31.5
Brand W,49313,462,27.6
Brand B,34352,115,23.7
Brand X,55315,328,19.6
Brand C,94752,497,16.9
Brand C,37087,364,21.1
Brand Z,79714,232,14.9
Brand X,71018,391,33.6
Brand E,86444,223,18.6
Brand A,55010,406,16.3
Brand Z,58372,136,10.0
Brand C,87363,376,10.4
Brand W,90202,182,28.9
Brand E,46663,389,15.0
Brand W,64526,359,29.5
Brand X,42717,498,27.5
Brand B,42957,479,26.8
Brand W,61811,155,21.0
Brand Y,93254,350,16.8
Brand B,71563,368,24.9
Brand C,42784,242,33.3
Brand E,61820,207,11.0
Brand B,39125,303,14.5
Brand A,34868,282,15.0
Brand Z,39096,444,27.9
Brand W,38304,477,22.7
Brand A,94724,371,28.9
Brand Z,63328,301,24.5
Brand Z,98965,188,23.6
Brand C,93532,138,16.5
Brand Y,68051,476,12.5
Brand D,31937,362,23.7
Brand Z,98901,269,28.0
Brand D,59524,449,15.9
Brand E,56793,322,12.4
Brand A,55210,487,15.6
Brand W,65947,210,13.2
Brand Z,98835,313,17.9
Brand Z,45482,496,34.8
Brand Z,37148,239,18.1
Brand W,78009,129,12.7
Brand D,35049,413,29.9
Brand B,98465,238,27.2
Brand E,35531,315,16.2
Brand Z,54716,179,22.5
Brand D,34334,242,25.9
Brand B,54299,357,12.2
Brand X,70498,257,26.2
Brand Z,41568,420,26.7
Brand W,48819,373,13.1
Brand W,84934,159,25.8
Brand E,65785,394,31.3
Brand B,60060,197,11.7
Brand Y,75405,205,28.8
Brand Z,61560,135,18.3
Brand E,69897,142,13.7
Brand C,35176,157,28.6
Brand A,48971,334,20.1
Brand Y,46983,428,22.8
Brand W,58648,348,34.3
Brand B,42948,255,26.3
Brand W,57769,410,22.0
Brand Y,99650,249,24.4
Brand B,86107,289,15.5
Brand A,42266,240,29.5
Brand D,73219,258,15.4
Brand W,91610,321,18.6
Brand C,57808,174,33.1
Brand B,34906,143,33.9
Brand C,58013,479,13.7
Brand E,56890,211,24.3
Brand W,36230,342,18.8
Brand A,55788,451,17.3
Brand W,82758,184,28.2
Brand B,98382,393,16.6
Brand D,83314,195,19.6
Brand B,60637,307,10.1
Brand E,32280,470,22.3
Brand C,56320,470,17.9
Brand B,49558,487,15.5
Brand X,70447,179,22.8
Brand X,61304,495,22.1
Brand D,96918,496,17.9
Brand X,56965,492,32.0
Brand A,37049,215,15.8
Brand X,30810,452,23.3
Brand D,94609,376,30.0
Brand B,80435,100,34.0
Brand X,91126,407,10.4
Brand D,73489,382,34.8
Brand Y,35447,150,23.2
Brand A,49510,481,19.0
Brand B,32564,337,34.1
Brand D,44038,252,15.4
Brand W,53328,106,16.1
Brand D,76953,149,22.9
Brand X,89463,448,29.6
Brand Z,87809,339,13.8
Brand W,57805,335,16.3
Brand B,75854,233,23.2
Brand C,55884,232,19.1
Brand Z,49339,194,29.1
Brand W,36395,143,31.3
Brand C,48001,200,22.9
Brand Z,36804,192,16.1
Brand B,52424,304,27.3
Brand X,80462,249,26.5
Brand Z,95518,480,17.7
Brand E,30127,234,20.4
Brand X,86059,210,13.7
Brand A,70594,223,33.6
Brand B,68456,101,31.4
Brand E,83196,412,20.0
Brand X,65630,415,13.2
Brand X,85173,463,27.1
Brand A,67350,222,32.6
Brand E,37694,281,29.6
Brand Z,82876,109,19.6
Brand E,77329,218,20.1
Brand B,67405,258,32.7
Brand Y,46727,229,30.7
Brand A,65709,487,26.7
Brand C,52127,425,22.3
Brand A,49990,134,33.9
Brand Z,48557,129,28.2
Brand C,92432,280,27.2
Brand A,30298,188,20.5
Brand Z,70656,212,26.2
Brand A,42575,207,29.2
Brand Y,78638,174,21.6
Brand Y,83679,293,15.9
Brand D,80913,193,28.6
Brand C,81374,420,22.4
Brand Y,30144,439,27.5
Brand C,61843,134,16.9
Brand Z,94728,407,22.3
Brand X,52181,107,11.9
Brand W,37735,431,12.0
Brand B,63870,284,31.8
Brand D,85158,325,28.8
Brand Y,52276,482,19.1
Brand X,71429,156,23.0
Brand D,62085,146,14.3
Brand Y,36532,470,14.6
Brand D,63691,128,29.0
Brand C,56492,338,16.9
Brand A,60662,216,10.9
Brand C,37834,352,19.1
Brand B,38030,254,17.2
Brand B,76843,108,26.7
Brand A,95377,306,30.6
Brand B,67065,427,14.5
Brand B,86846,198,33.9
Brand Y,43111,350,13.8
Brand D,93903,247,18.0
Brand Z,35045,360,13.0
Brand C,46053,454,22.8
Brand X,84259,313,19.8
Brand D,72315,100,23.7
Brand B,67702,226,19.1
Brand Y,91655,404,15.6
Brand A,31960,311,10.6
Brand Z,70975,115,22.2
Brand D,92444,328,21.1
Brand W,38220,341,34.3
Brand E,44377,396,18.5
Brand B,81156,495,20.6
Brand C,99559,421,14.4
Brand C,83444,495,15.3
Brand A,89269,453,17.5
Brand Z,89069,212,10.6
Brand A,59260,250,25.1
Brand D,81760,144,12.5
Brand Y,93462,369,18.7
Brand D,82156,209,22.8
Brand A,93983,111,11.3
Brand B,84257,495,25.4
Brand W,40489,293,34.3
Brand W,43049,470,23.7
Brand W,64837,160,16.1
Brand Y,72900,197,28.3
Brand D,71112,452,14.5
Brand Z,91222,269,24.9
Brand B,75851,105,12.6
Brand D,93299,250,23.7
Brand W,78170,117,26.0
Brand W,60839,317,22.9
Brand Y,80598,270,17.6
Brand W,39298,250,26.5
Brand W,88544,218,11.3
Brand B,49949,294,15.3
Brand Z,90729,440,16.5
Brand X,34434,370,11.0
Brand Y,98692,220,23.7
Brand W,89564,279,13.5
Brand W,60835,375,27.5
Brand X,42728,267,14.2
Brand Y,66507,183,19.1
Brand D,92335,183,20.0
Brand Y,65183,153,34.6
Brand C,63535,325,23.5
Brand B,80933,301,13.7
Brand B,87792,217,15.4
Brand B,48979,392,27.5
Brand Y,88251,382,17.7
Brand W,61289,245,26.3
Brand Z,35529,196,10.9
Brand A,66096,243,18.5
Brand Y,67530,189,21.5
Brand A,89310,122,16.6
Brand W,40447,276,24.9
Brand W,97359,345,20.8
Brand W,34359,380,32.9
Brand Z,99192,377,15.4
Brand B,90043,417,10.7
Brand C,64680,454,31.8
Brand W,75148,136,15.2
Brand B,87547,408,20.2
Brand E,31172,420,18.3
Brand C,95707,440,28.7
Brand W,94843,329,27.3
Brand X,97060,245,23.6
Brand A,75199,301,25.1
Brand X,76366,280,12.8
Brand B,67976,468,14.3
Brand E,34488,173,11.0
Brand Z,64404,345,22.7
Brand B,42200,301,34.5
Brand X,79799,443,31.6
Brand D,69195,447,19.5
Brand Y,92810,280,12.6
Brand C,81978,423,34.9
Brand C,88385,289,26.8
Brand E,75100,472,33.4
Brand Y,67037,381,28.8
Brand A,82777,355,15.7
Brand Z,43083,492,15.4
Brand B,68453,269,27.9
Brand W,97086,212,28.3
Brand E,72710,415,16.8
Brand D,44418,114,13.1
Brand E,65011,365,18.1
Brand X,35728,210,10.2
Brand A,97112,120,28.8
Brand A,30966,460,14.9
Brand D,69120,388,23.7
Brand W,78356,332,13.1
Brand Z,89383,358,31.3
Brand Y,85126,351,18.6
Brand W,68061,302,31.2
Brand A,98658,229,30.5
Brand C,78253,283,13.2
Brand E,57433,184,16.0
Brand A,36356,352,29.9
Brand E,47997,188,21.4
Brand X,39385,158,24.7
Brand Z,72502,407,14.6
Brand Z,97285,433,33.5
Brand C,81601,486,21.0
Brand A,54311,405,11.0
Brand Y,86281,240,25.6
Brand B,32181,174,16.2
Brand W,80820,191,34.4
Brand E,88923,282,25.7
Brand E,54287,466,31.6
Brand X,53305,332,28.8
Brand E,70316,400,24.2
Brand X,79932,484,32.4
Brand B,36721,243,17.5
Brand A,70291,313,28.7
Brand Y,51648,361,15.5
Brand B,40322,447,30.5
Brand B,97085,291,15.1
Brand E,71480,138,32.6
Brand Z,84560,240,12.0
Brand D,99756,108,30.8
Brand D,30449,173,19.0
Brand W,41717,264,17.6
Brand D,85108,103,19.5
Brand A,65734,115,31.1
Brand D,31972,287,27.9
Brand E,59327,465,12.3
Brand C,79904,452,27.3
Brand B,89342,246,24.2
Brand B,78900,315,29.1
Brand W,69039,240,34.3
Brand Y,37459,233,21.6
Brand Z,70262,421,32.7
Brand X,96710,234,12.7
Brand B,34371,348,12.3
Brand W,73970,430,22.2
Brand A,64160,281,12.5
Brand W,82435,329,31.4
Brand X,79441,320,34.2
Brand C,55354,148,28.5
Brand Y,94471,387,30.3
Brand A,31787,457,31.7
Brand C,96356,488,30.8
Brand D,58965,444,28.0
Brand Y,63871,338,27.5
Brand B,74234,343,17.7
Brand E,97545,492,32.0
Brand A,57753,100,23.0
Brand B,37127,243,18.1
Brand A,40818,392,13.1
Brand W,50428,178,25.7
Brand W,48699,389,32.2
Brand W,60822,222,22.3
Brand Z,93744,471,10.8
Brand E,72794,329,21.2
Brand Z,70469,267,12.5
Brand W,47494,153,31.3
Brand B,77727,391,31.7
Brand B,32011,269,27.5
Brand E,53076,339,21.0
Brand E,57137,174,26.3
Brand X,79919,497,23.7
Brand A,59765,349,10.6
Brand Z,82327,460,31.7
Brand Y,32428,140,18.1
Brand Z,95232,456,19.7
Brand Z,99221,300,23.6
Brand B,60567,384,24.1
Brand Z,95262,377,13.2
Brand C,77543,135,13.1
Brand B,70897,144,20.8
Brand D,97339,222,17.1
Brand Z,33000,434,20.2
Brand Z,57792,355,34.2
Brand E,32552,375,16.5
Brand A,84781,129,34.8
Brand A,81315,120,14.0
Brand X,39545,105,32.0
Brand Z,33802,266,13.0
Brand A,34077,434,31.4
Brand Y,43168,124,18.1
Brand Z,63558,125,10.4
Brand C,94960,103,34.3
Brand B,99784,260,29.8
Brand A,81706,127,13.2
Brand X,75873,360,25.4
Brand W,64001,491,16.5
Brand B,32452,451,21.6
Brand Y,75204,275,13.8
Brand Z,88487,443,28.3
Brand B,41943,148,19.0
Brand X,42452,168,16.0
Brand Z,35922,278,32.1
Brand W,90640,283,21.9
Brand Z,86360,288,14.4
Brand D,41152,338,33.3
Brand A,55236,304,33.0
Brand W,69453,447,23.4
Brand B,66891,471,22.5
Brand B,35648,145,27.9
Brand E,36964,122,20.5
Brand Y,86957,344,17.0
Brand E,84514,415,18.4
Brand B,44723,463,18.0
Brand E,50497,464,17.8
Brand E,73522,381,29.5
Brand A,32849,414,17.5
Brand D,36967,177,16.5
Brand C,30521,109,28.1
Brand A,55213,152,20.7
Brand E,60306,438,23.3
Brand E,60721,424,18.1
Brand X,67258,377,19.1
Brand X,93568,378,11.9
Brand B,76266,234,24.5
Brand C,89502,368,21.5
Brand Z,70955,374,12.2
Brand Y,54742,452,28.3
Brand B,32101,188,15.5
Brand W,47254,247,18.9
Brand B,47564,435,19.6
Brand A,67689,415,30.7
Brand A,39724,117,34.8
Brand Z,46365,469,33.8
Brand W,45498,337,21.7
Brand B,73511,112,27.2
Brand C,78036,373,23.2
Brand A,40401,345,12.0
Brand Y,43096,213,23.7
Brand D,87749,304,11.8
Brand B,36847,162,21.5
Brand D,37290,139,14.7
Brand D,93406,111,20.0
Brand B,43550,290,17.7
Brand E,72225,303,28.0
Brand Y,54882,256,28.1
Brand Y,73743,371,32.6
Brand Y,67346,351,30.7
Brand W,45059,361,34.7
Brand Z,77769,323,31.6
Brand A,92917,279,17.4
Brand X,72180,369,10.4
Brand C,41089,280,31.3
Brand Y,50222,382,25.3
Brand Y,83993,394,30.4
Brand E,97430,163,18.0
Brand E,46556,123,11.7
Brand Z,80546,368,24.8
Brand X,78517,173,24.9
Brand Y,78960,267,26.6
Brand W,67976,371,28.6
Brand X,53211,487,34.1
Brand W,67290,434,22.9
Brand D,48151,447,29.8
Brand D,85223,468,28.7
Brand D,52307,192,20.1
Brand Z,85787,137,23.3
Brand X,54287,390,25.4
Brand D,89732,275,15.8
Brand A,90325,429,17.6
Brand C,74855,337,32.4
Brand A,30090,435,13.8
Brand Y,64981,211,28.2
Brand C,63824,275,22.3
Brand A,44971,308,11.2
Brand E,62571,407,27.4
Brand B,59983,378,25.3
Brand D,68762,128,21.5
Brand X,60641,147,19.8
Brand W,40972,229,24.5
Brand E,69580,477,17.2
Brand X,41523,187,17.9
Brand X,30347,142,19.9
Brand Z,57295,460,12.4
Brand C,80857,297,10.2
Brand W,58462,165,16.2
Brand Y,68859,201,27.7
Brand Y,34915,221,31.5
Brand E,58242,490,31.0
Brand C,44731,467,24.3
Brand A,66182,435,32.6
Brand C,44513,347,29.5
Brand W,50482,238,29.3
Brand B,32252,192,12.0
Brand E,51441,478,25.9
Brand Z,98312,353,25.8
Brand D,58418,319,34.1
Brand B,63887,257,20.1
Brand Y,66058,447,34.2
Brand C,56175,273,17.9
Brand B,64364,248,26.1
Brand E,98484,120,23.8
Brand Z,85805,397,18.3
Brand W,77263,475,19.5
Brand E,75082,285,18.1
Brand D,74876,478,12.6
Brand Y,91043,257,22.6
Brand X,89001,490,16.9
Brand E,95169,249,20.1
Brand X,48320,228,25.8
Brand Z,47777,256,17.6
Brand D,80496,491,13.5
Brand B,79038,109,14.2
Brand B,79321,453,23.6
Brand B,70254,169,14.0
Brand X,30645,187,10.3
Brand Z,51975,437,21.7
Brand Y,59000,455,24.7
Brand C,87654,349,27.0
Brand B,57574,280,17.8
Brand C,44024,288,31.6
Brand X,62101,123,16.4
Brand X,79049,400,28.2
Brand B,87963,443,18.8
Brand B,38513,310,21.0
Brand D,44279,146,13.8
Brand B,77293,286,22.6
Brand Y,76414,213,16.5
Brand A,54273,483,17.3
Brand Z,51524,150,15.8
Brand X,49493,262,31.7
Brand E,48347,313,10.9
Brand A,52987,399,20.2
Brand Z,62644,407,11.6
Brand W,74030,166,28.7
Brand W,40760,292,27.1
Brand E,55029,166,16.6
Brand Z,34327,444,27.1
Brand Z,49598,442,23.9
Brand B,74319,189,26.2
Brand B,40826,465,19.1
Brand Y,66794,458,23.0
Brand W,86276,187,21.1
Brand X,89180,157,13.6
Brand A,54715,106,27.1
Brand X,80491,286,29.7
Brand X,84485,160,32.8
Brand D,88371,133,25.0
Brand W,87082,152,31.9
Brand D,42281,108,12.8
Brand A,86705,378,31.3
Brand D,93995,224,17.8
Brand X,47038,167,21.9
Brand B,58686,451,27.9
Brand W,63962,293,27.2
Brand Z,91745,347,17.4
Brand A,98726,121,13.7
Brand D,64972,190,27.1
Brand E,45348,366,15.8
Brand D,59673,296,24.5
Brand Y,91802,129,34.7
Brand X,33792,455,18.4
Brand D,65670,422,18.6
Brand A,93494,224,29.4
Brand X,85490,260,26.0
Brand X,45853,281,14.4
Brand X,35335,225,19.5
Brand X,38615,214,18.8
Brand D,85557,148,25.3
Brand D,38071,393,21.7
Brand C,63969,383,28.5
Brand D,85899,368,19.3
Brand D,95567,243,10.9
Brand W,56142,111,18.5
Brand X,61479,303,20.2
Brand W,83913,481,14.3
Brand C,94878,385,24.8
Brand Y,47974,326,25.6
Brand B,88341,386,22.7
Brand Z,88076,262,31.1
Brand A,56211,491,23.8
Brand Z,33770,424,16.8
Brand B,95072,428,14.9
Brand B,55218,210,12.0
Brand E,80757,287,20.0
Brand C,40868,424,18.4
Brand W,39076,115,21.1
Brand B,68492,366,13.8
Brand W,64573,272,34.7
Brand Y,79106,273,26.8
Brand D,77961,434,33.6
Brand B,90016,224,15.5
Brand E,99223,306,22.5
Brand W,95762,348,23.1
Brand B,94580,123,22.8
Brand E,87524,148,28.7
Brand E,62225,114,19.7
Brand E,83070,364,25.3
Brand Y,42240,496,21.8
Brand W,49308,165,18.2
Brand W,69518,477,32.5
Brand Y,48078,143,15.9
Brand D,51264,408,22.7
Brand Y,45915,255,32.1
Brand E,56686,336,29.6
Brand C,39249,487,21.0
Brand X,76248,157,16.0
Brand B,82791,272,25.9
Brand Z,65247,383,12.7
Brand Y,68475,296,30.2
Brand Y,33452,426,29.7
Brand C,71578,409,27.8
Brand B,55363,356,20.3
Brand D,31167,271,29.9
Brand D,40190,300,12.5
Brand X,72960,447,17.3
Brand Z,63076,345,24.7
Brand W,31071,267,32.7
Brand B,90667,438,15.1
Brand B,69421,306,31.7
Brand E,85689,122,34.8
Brand W,38951,204,28.6
Brand A,75168,280,32.8
Brand W,47705,437,19.2
Brand Z,70207,441,13.9
Brand D,78238,435,27.9
Brand W,86493,288,17.1
Brand E,63669,307,16.8
Brand X,51501,175,30.9
Brand X,52449,268,13.3
Brand Y,84032,420,12.2
Brand C,65900,454,20.9
Brand X,77860,105,16.9
Brand C,72738,458,22.7
Brand C,41374,118,20.5
Brand B,71004,493,25.3
Brand X,33498,145,20.9
Brand E,38758,220,32.5
Brand A,98592,194,19.9
Brand E,72428,339,27.1
Brand E,53987,230,24.8
Brand C,66468,143,31.6
Brand E,53762,318,20.8
Brand A,37010,403,23.6
Brand X,75489,161,29.0
Brand X,37266,336,11.1
Brand Z,58456,338,13.9
Brand E,96799,363,15.1
Brand B,49992,178,29.5
Brand E,79817,109,22.3
Brand D,31386,308,28.4
Brand W,44923,284,13.6
Brand C,61647,257,14.3
Brand Y,64603,112,27.7
Brand E,85298,130,31.3
Brand B,71703,401,21.3
Brand X,72351,319,11.2
Brand X,90461,474,18.9
Brand C,31816,460,11.5
Brand D,43223,161,29.0
Brand D,48673,384,16.7
Brand C,37559,177,29.8
Brand A,53140,232,15.4
Brand E,81941,304,30.6
Brand E,71591,230,13.1
Brand X,48861,196,32.3
Brand B,98855,277,22.0
Brand W,56669,467,17.7
Brand D,56618,384,10.9
Brand B,45122,482,27.2
Brand A,98701,168,29.3
Brand E,42689,340,29.5
Brand C,33836,279,21.7
Brand Z,43116,423,19.7
Brand A,66389,236,17.0
Brand Y,93138,123,20.9
Brand X,82415,297,34.1
Brand Y,90994,442,22.9
Brand B,88512,349,16.3
Brand Y,35988,403,11.9
Brand C,96222,416,11.3
Brand X,53530,155,15.2
Brand D,94904,137,26.6
Brand D,63304,322,21.2
Brand C,94728,132,11.2
Brand W,31838,335,10.4
Brand C,49960,238,10.0
Brand Y,80114,478,25.7
Brand Z,72188,486,28.0
Brand Y,90244,199,17.7
Brand E,30933,156,20.1
Brand X,61221,308,27.1
Brand C,31652,185,29.5
Brand X,59451,347,16.6
Brand E,70893,419,20.7
Brand E,59197,232,22.7
Brand E,42992,396,22.8
Brand B,47236,269,32.0
Brand X,46029,279,23.3
Brand E,54492,363,31.6
Brand E,60291,186,25.7
Brand C,98871,200,25.6
Brand W,84690,397,23.0
Brand W,98536,333,31.0
Brand A,33809,152,27.0
Brand Z,72220,470,24.9
Brand C,30927,110,21.2
Brand Y,47337,156,29.1
Brand C,54117,302,32.7
Brand D,75437,488,28.2
Brand A,50767,408,12.8
Brand D,54361,227,12.3
Brand E,48195,406,13.7
Brand D,67874,374,23.9
Brand C,94345,228,10.6
Brand A,55868,426,13.4
Brand E,56200,473,24.6
Brand E,74401,100,33.9
Brand D,57962,224,16.9
Brand A,72411,152,21.8
Brand Y,78607,405,30.4
Brand C,44076,337,34.9
Brand X,82356,335,21.3
Brand A,95297,369,31.2
Brand Z,43963,445,34.7
Brand X,90851,278,19.4
Brand E,81269,438,22.1
Brand E,99631,484,10.9
Brand X,86114,462,22.9
Brand D,53810,229,27.2
Brand B,48847,433,29.2
Brand C,74853,470,19.8
Brand B,92628,481,17.9
Brand D,68881,249,15.4
Brand X,64418,258,26.7
Brand W,41378,449,14.4
Brand Z,86175,191,14.5
Brand W,64043,273,31.0
Brand Y,58136,135,14.1
Brand Y,92017,464,21.7
Brand W,40115,247,22.7
Brand D,69493,181,31.4
Brand X,41635,152,10.4
Brand D,45048,190,18.2
Brand C,99030,360,22.0
Brand A,30086,388,11.9
Brand X,56794,300,24.5
Brand D,45956,139,31.1
Brand A,84498,222,13.1
Brand Z,42423,278,21.1
Brand E,53588,394,14.5
Brand E,45498,406,33.3
Brand Y,51107,482,20.8
Brand W,77988,224,29.0
Brand Z,68807,115,23.7
Brand X,52132,211,16.2
Brand W,83839,457,21.6
Brand X,75196,472,13.8
Brand Y,59089,314,27.3
Brand X,50222,234,25.5
Brand A,88690,353,20.8
Brand X,85920,256,20.1
Brand C,40981,477,12.3
Brand Z,46944,149,13.7
Brand X,40712,152,22.7
Brand W,60538,245,18.8
Brand E,73465,426,10.0
Brand W,94068,104,25.1
Brand E,59108,428,29.4
Brand A,46632,401,24.2
Brand Z,30088,402,19.9
Brand D,33151,312,20.9
Brand D,80454,206,28.8
Brand Y,71350,284,13.0
Brand B,69759,168,19.3
Brand E,42066,318,15.8
Brand X,52478,419,10.2
Brand C,94362,310,31.5
Brand C,64771,235,30.6
Brand Z,59836,127,33.6
Brand E,39299,243,20.4
Brand Z,87596,389,12.5
Brand B,77967,270,30.8
Brand B,55381,377,12.2
Brand Y,55965,235,30.8
Brand E,61863,255,31.0
Brand A,81083,218,34.7
Brand X,80095,279,12.4
Brand X,40851,181,23.8
Brand Y,58857,214,33.7
Brand E,68112,287,16.2
Brand E,91467,130,21.3
Brand B,77901,496,25.3
Brand E,34066,433,17.5
Brand A,90869,486,24.6
Brand X,38678,459,11.2
Brand D,50029,177,26.6
Brand Z,83571,344,18.6
Brand Y,72656,415,26.1
Brand D,44106,210,16.8
Brand Y,71306,369,15.6
Brand A,36515,126,29.2
Brand B,86054,487,19.2
Brand W,61171,421,30.6
Brand C,66050,223,18.6
Brand A,78331,315,29.9
Brand A,94574,352,34.0
Brand D,32484,308,33.3
Brand Y,36529,126,20.5
Brand E,76781,495,20.8
Brand A,41868,189,28.9
Brand E,61652,470,15.5
Brand E,87559,245,24.8
Brand A,87942,170,34.8
Brand X,50188,366,27.3
Brand C,94024,266,28.0
Brand D,52998,386,30.7
Brand B,93665,291,13.3
Brand Z,73706,250,12.5
Brand D,76049,150,21.1
Brand Z,58308,123,14.7
Brand A,41718,169,29.0
Brand A,65943,388,10.8
Brand X,79055,124,11.6
Brand A,35710,284,34.2
Brand D,52546,134,34.4
Brand X,69384,335,17.7
Brand D,55716,195,13.6
Brand Z,42582,372,10.5
Brand X,40594,343,16.0
Brand B,32807,179,30.2
Brand C,76628,263,23.4
Brand C,97573,190,29.7
Brand X,71587,169,25.1
Brand W,35860,190,17.4
Brand X,59949,264,29.0
Brand Y,95713,377,32.6
Brand W,74355,314,30.2
Brand Y,90991,369,15.3
Brand Z,76463,300,21.6
Brand Z,61373,435,21.3
Brand W,76869,497,19.5
Brand A,36520,234,29.2
Brand E,59473,474,22.9
Brand X,73744,220,33.9
Brand D,42753,231,12.4
Brand E,47278,165,29.3
Brand X,97117,456,30.0
Brand Y,62472,341,10.8
Brand C,90747,257,14.9
Brand Z,73334,299,10.1
Brand B,76134,497,27.9
Brand E,79301,441,20.4
Brand C,34348,384,28.7
Brand B,81809,136,33.5
Brand Z,71884,178,16.9
Brand X,55257,450,18.6
Brand X,77592,298,17.2
Brand C,31493,129,27.3
Brand Z,63287,413,25.5
Brand C,31198,332,22.2
Brand D,33962,309,25.0
Brand Y,82046,215,29.6
Brand Z,63948,199,34.0
Brand Y,72469,302,26.6
Brand X,77029,156,25.5
Brand W,88900,226,29.5
Brand Z,67749,122,14.3
Brand X,71731,390,12.8
Brand D,85972,151,31.3
Brand X,32171,275,13.1
Brand A,73830,490,17.3
Brand C,67518,195,27.2
Brand D,69742,463,21.1
Brand X,43706,127,32.9
Brand D,91808,170,23.2
Brand C,83818,325,21.2
Brand D,56305,366,19.9
Brand B,57018,289,33.2
Brand X,40104,278,21.8
Brand C,68852,336,16.2
Brand W,82141,266,21.0
Brand A,67295,176,31.7
Brand Z,46879,426,34.3
Brand D,59172,377,32.9
Brand A,38162,383,29.9
Brand Y,33791,217,28.2
Brand Y,63133,484,19.4
Brand B,63170,376,10.8
Brand C,69084,479,10.7
Brand A,83274,193,30.5
Brand Y,92316,134,11.3
Brand C,97138,281,24.9
Brand A,75529,211,22.0
Brand Z,91613,430,33.6
Brand E,55348,140,28.2
Brand Z,30231,224,12.6
Brand E,44876,289,30.6
Brand C,34771,427,15.5
Brand E,56471,304,26.8
Brand A,39539,478,32.6
Brand W,50645,273,20.7
Brand X,85149,219,26.0
Brand Z,71680,149,21.0
Brand E,34193,324,32.6
Brand A,97040,345,12.7
Brand X,79141,179,25.8
Brand W,83278,355,23.9
Brand A,68672,383,32.3
Brand X,98372,404,26.6
Brand B,86777,153,16.2
Brand E,37511,422,33.8
Brand Y,98853,344,11.2
Brand Y,38445,453,26.5
Brand Y,74350,225,20.4
Brand Y,92655,202,25.4
Brand E,43652,394,27.3
Brand B,81046,479,25.1
Brand B,35820,108,21.3
Brand Z,86749,106,17.7
Brand B,37340,303,33.7
Brand Y,76746,426,28.9
Brand A,64870,359,25.8
Brand D,88226,206,30.6
Brand E,30252,212,33.9
Brand Z,78717,387,17.6
Brand Z,45733,121,12.0
Brand D,73052,108,19.4
Brand X,65238,259,20.0
Brand B,67611,177,12.4
Brand C,41340,382,12.1
Brand A,83057,263,20.6
Brand Z,53350,372,29.7
Brand Z,39647,393,10.9
Brand Y,99147,164,33.2
Brand X,82184,361,28.2
Brand D,57966,120,25.4
Brand A,51045,206,29.5
Brand Z,99858,485,23.4
Brand C,34841,299,29.7
Brand C,59766,285,32.8
Brand D,81649,229,29.6
Brand D,34278,202,26.7
Brand B,70338,187,16.5
Brand C,65119,253,29.8
Brand W,81280,124,20.9
Brand W,63712,398,27.3
Brand C,51615,228,32.5
Brand E,38196,387,23.1
Brand B,72743,398,14.8
Brand W,66725,229,17.9
Brand C,78942,266,23.0
Brand D,45467,191,22.1
Brand W,48206,497,21.6
Brand W,31700,491,12.3
Brand Z,71118,415,32.7
Brand A,89443,145,32.4
Brand E,30203,338,18.0
Brand Z,54315,471,32.6
Brand E,74860,108,19.8
Brand X,95989,281,30.3
Brand W,94717,185,10.5
Brand E,35928,474,31.7
Brand X,31478,246,20.7
Brand E,37685,433,24.4
Brand Y,69899,408,15.7
Brand B,73478,389,27.6
Brand C,78914,356,31.5
Brand Z,65907,105,25.0
Brand X,74078,474,22.8
Brand A,90837,346,12.9
Brand Z,68031,152,33.2
Brand E,99189,346,14.1
Brand B,78929,139,24.7
Brand Z,99855,397,33.3
Brand B,71179,427,34.6
Brand W,91224,357,12.9
Brand Y,68928,152,18.3
Brand Y,79836,392,19.2
Brand A,43088,138,25.1
Brand D,79814,458,15.0
Brand A,76178,356,29.1
Brand D,95419,189,31.6
Brand A,47514,252,27.5
Brand X,92904,142,31.3
Brand Z,67212,124,27.8
Brand A,94245,269,25.4
Brand Y,77532,293,16.2
Brand C,74451,138,31.9
Brand E,32663,398,23.8
Brand Z,44861,119,24.6
Brand Z,79638,455,28.2
Brand W,44180,149,21.4
Brand C,49038,369,21.5
Brand Y,43913,178,18.3
Brand E,83824,450,32.5
Brand D,81536,307,27.0
Brand B,47201,429,27.2
Brand E,57805,365,12.6
Brand B,52505,292,16.8
Brand W,61986,373,21.6
Brand Z,40995,378,24.3
Brand E,90730,427,15.3
Brand B,60261,363,18.0
Brand W,65526,229,15.1
Brand E,38982,438,19.3
Brand A,86179,289,26.0
Brand A,74111,399,34.5
Brand Y,67017,214,23.7
Brand A,66041,326,16.6
Brand E,66698,398,22.5
Brand W,36407,400,29.7
Brand B,50006,425,33.3
Brand E,31197,166,20.0
Brand C,66704,496,21.8
Brand B,58979,496,29.8
Brand X,68104,348,27.0
Brand B,92533,131,26.0
Brand W,73853,467,14.9
Brand D,83877,126,32.5
Brand D,50375,444,22.7
Brand C,41812,329,33.6
Brand Y,58179,412,13.0
Brand W,65631,448,28.5
Brand C,58343,185,13.9
Brand X,96409,362,22.7
